Nome,Linguagem
.github,
ads-advanced-tools-docs,Jupyter Notebook
ads-pao-amznjs-gtm-template,Smarty
alexa-coho,JavaScript
alexa-skills-kit-js,
amazon-ads-advertiser-audience-normalization-sdk-py,Python
amazon-advertising-api-php-sdk,PHP
amazon-codeguru-profiler-for-spark,Java
amazon-frustration-free-setup-certification-tool,Python
amazon-hub-counter-api-docs,CSS
amazon-hub-counter-api-samples,Java
amazon-hub-counter-sdk-java,Java
amazon-hub-support,PowerShell
amazon-instant-access-sdk-java,Java
amazon-instant-access-sdk-net,C#
amazon-instant-access-sdk-php,PHP
amazon-instant-access-sdk-ruby,Ruby
amazon-launcher-integration-cordova-plugin,JavaScript
amazon-marketing-stream-examples,Python
amazon-mcf-plugin-for-magento-1,PHP
amazon-multi-token-completion,Python
amazon-nearest-neighbor-through-ecc,Jupyter Notebook
amazon-pay-api-sdk-dotnet,C#
amazon-pay-api-sdk-java,Java
amazon-pay-api-sdk-nodejs,JavaScript
amazon-pay-api-sdk-php,PHP
amazon-pay-api-sdk-ruby,Ruby
amazon-pay-sdk-csharp,C#
amazon-pay-sdk-java,Java
amazon-pay-sdk-php,PHP
.github,
ads-advanced-tools-docs,Jupyter Notebook
ads-pao-amznjs-gtm-template,Smarty
alexa-coho,JavaScript
alexa-skills-kit-js,
amazon-ads-advertiser-audience-normalization-sdk-py,Python
amazon-advertising-api-php-sdk,PHP
amazon-codeguru-profiler-for-spark,Java
amazon-frustration-free-setup-certification-tool,Python
amazon-hub-counter-api-docs,CSS
amazon-hub-counter-api-samples,Java
amazon-hub-counter-sdk-java,Java
amazon-hub-support,PowerShell
amazon-instant-access-sdk-java,Java
amazon-instant-access-sdk-net,C#
amazon-instant-access-sdk-php,PHP
amazon-instant-access-sdk-ruby,Ruby
amazon-launcher-integration-cordova-plugin,JavaScript
amazon-marketing-stream-examples,Python
amazon-mcf-plugin-for-magento-1,PHP
amazon-multi-token-completion,Python
amazon-nearest-neighbor-through-ecc,Jupyter Notebook
amazon-pay-api-sdk-dotnet,C#
amazon-pay-api-sdk-java,Java
amazon-pay-api-sdk-nodejs,JavaScript
amazon-pay-api-sdk-php,PHP
amazon-pay-api-sdk-ruby,Ruby
amazon-pay-sdk-csharp,C#
amazon-pay-sdk-java,Java
amazon-pay-sdk-php,PHP
.github,
ads-advanced-tools-docs,Jupyter Notebook
ads-pao-amznjs-gtm-template,Smarty
alexa-coho,JavaScript
alexa-skills-kit-js,
amazon-ads-advertiser-audience-normalization-sdk-py,Python
amazon-advertising-api-php-sdk,PHP
amazon-codeguru-profiler-for-spark,Java
amazon-frustration-free-setup-certification-tool,Python
amazon-hub-counter-api-docs,CSS
amazon-hub-counter-api-samples,Java
amazon-hub-counter-sdk-java,Java
amazon-hub-support,PowerShell
amazon-instant-access-sdk-java,Java
amazon-instant-access-sdk-net,C#
amazon-instant-access-sdk-php,PHP
amazon-instant-access-sdk-ruby,Ruby
amazon-launcher-integration-cordova-plugin,JavaScript
amazon-marketing-stream-examples,Python
amazon-mcf-plugin-for-magento-1,PHP
amazon-multi-token-completion,Python
amazon-nearest-neighbor-through-ecc,Jupyter Notebook
amazon-pay-api-sdk-dotnet,C#
amazon-pay-api-sdk-java,Java
amazon-pay-api-sdk-nodejs,JavaScript
amazon-pay-api-sdk-php,PHP
amazon-pay-api-sdk-ruby,Ruby
amazon-pay-sdk-csharp,C#
amazon-pay-sdk-java,Java
amazon-pay-sdk-php,PHP
.github,
ads-advanced-tools-docs,Jupyter Notebook
ads-pao-amznjs-gtm-template,Smarty
alexa-coho,JavaScript
alexa-skills-kit-js,
amazon-ads-advertiser-audience-normalization-sdk-py,Python
amazon-advertising-api-php-sdk,PHP
amazon-codeguru-profiler-for-spark,Java
amazon-frustration-free-setup-certification-tool,Python
amazon-hub-counter-api-docs,CSS
amazon-hub-counter-api-samples,Java
amazon-hub-counter-sdk-java,Java
amazon-hub-support,PowerShell
amazon-instant-access-sdk-java,Java
amazon-instant-access-sdk-net,C#
amazon-instant-access-sdk-php,PHP
amazon-instant-access-sdk-ruby,Ruby
amazon-launcher-integration-cordova-plugin,JavaScript
amazon-marketing-stream-examples,Python
amazon-mcf-plugin-for-magento-1,PHP
amazon-multi-token-completion,Python
amazon-nearest-neighbor-through-ecc,Jupyter Notebook
amazon-pay-api-sdk-dotnet,C#
amazon-pay-api-sdk-java,Java
amazon-pay-api-sdk-nodejs,JavaScript
amazon-pay-api-sdk-php,PHP
amazon-pay-api-sdk-ruby,Ruby
amazon-pay-sdk-csharp,C#
amazon-pay-sdk-java,Java
amazon-pay-sdk-php,PHP
.github,
ads-advanced-tools-docs,Jupyter Notebook
ads-pao-amznjs-gtm-template,Smarty
alexa-coho,JavaScript
alexa-skills-kit-js,
amazon-ads-advertiser-audience-normalization-sdk-py,Python
amazon-advertising-api-php-sdk,PHP
amazon-codeguru-profiler-for-spark,Java
amazon-frustration-free-setup-certification-tool,Python
amazon-hub-counter-api-docs,CSS
amazon-hub-counter-api-samples,Java
amazon-hub-counter-sdk-java,Java
amazon-hub-support,PowerShell
amazon-instant-access-sdk-java,Java
amazon-instant-access-sdk-net,C#
amazon-instant-access-sdk-php,PHP
amazon-instant-access-sdk-ruby,Ruby
amazon-launcher-integration-cordova-plugin,JavaScript
amazon-marketing-stream-examples,Python
amazon-mcf-plugin-for-magento-1,PHP
amazon-multi-token-completion,Python
amazon-nearest-neighbor-through-ecc,Jupyter Notebook
amazon-pay-api-sdk-dotnet,C#
amazon-pay-api-sdk-java,Java
amazon-pay-api-sdk-nodejs,JavaScript
amazon-pay-api-sdk-php,PHP
amazon-pay-api-sdk-ruby,Ruby
amazon-pay-sdk-csharp,C#
amazon-pay-sdk-java,Java
amazon-pay-sdk-php,PHP
.github,
ads-advanced-tools-docs,Jupyter Notebook
ads-pao-amznjs-gtm-template,Smarty
alexa-coho,JavaScript
alexa-skills-kit-js,
amazon-ads-advertiser-audience-normalization-sdk-py,Python
amazon-advertising-api-php-sdk,PHP
amazon-codeguru-profiler-for-spark,Java
amazon-frustration-free-setup-certification-tool,Python
amazon-hub-counter-api-docs,CSS
amazon-hub-counter-api-samples,Java
amazon-hub-counter-sdk-java,Java
amazon-hub-support,PowerShell
amazon-instant-access-sdk-java,Java
amazon-instant-access-sdk-net,C#
amazon-instant-access-sdk-php,PHP
amazon-instant-access-sdk-ruby,Ruby
amazon-launcher-integration-cordova-plugin,JavaScript
amazon-marketing-stream-examples,Python
amazon-mcf-plugin-for-magento-1,PHP
amazon-multi-token-completion,Python
amazon-nearest-neighbor-through-ecc,Jupyter Notebook
amazon-pay-api-sdk-dotnet,C#
amazon-pay-api-sdk-java,Java
amazon-pay-api-sdk-nodejs,JavaScript
amazon-pay-api-sdk-php,PHP
amazon-pay-api-sdk-ruby,Ruby
amazon-pay-sdk-csharp,C#
amazon-pay-sdk-java,Java
amazon-pay-sdk-php,PHP
